,title,content,published_date,image_url,description,source,author,article_url
0,China Covid: WHO warns about under-representing Covid deaths,"The World Health Organization has warned that China is under-representing the true impact of Covid in the country - in particular deaths.
The removal of most restrictions last month has led to a sur… [+1664 chars]",2023-01-04T17:03:27Z,https://ichef.bbci.co.uk/news/1024/branded_news/C223/production/_128199694_19d98390d0c3f38b86b196941edf5a28c92fd983.jpg,The health body says it is worried about the risk to life and again urges Beijing for better data.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64167052
1,China Covid: Beijing criticises 'political' rules for its tourists,"The Chinese government has suggested that travel restrictions imposed by several countries on Chinese arrivals are politically motivated - and has warned that it may retaliate. 
The US, India and th… [+2862 chars]",2023-01-03T17:53:59Z,https://ichef.bbci.co.uk/news/1024/branded_news/129A6/production/_128189167_gettyimages-1453946866.jpg,"As China opens its borders, countries around the world have announced testing for arrivals.","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64155721
2,China Covid: EU officials 'strongly' urge testing for travel,"European Union officials are ""strongly"" recommending that all member states insist on negative Covid tests from Chinese arrivals before they travel.
Travel in and out of China gets easier from Sunda… [+2307 chars]",2023-01-04T22:12:37Z,https://ichef.bbci.co.uk/news/1024/branded_news/F172/production/_128201816_arrival.jpg,"Travel in and out of China gets easier from Sunday, as it moves away from its zero-Covid strategy.","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-europe-64167061
3,China Covid: Celebrity deaths spark fears over death toll,"The growing number of Chinese public figures whose deaths are being made public is prompting people to question the official Covid death toll.
The death of Chu Lanlan, a 40-year-old opera singer, la… [+4212 chars]",2023-01-05T10:27:29Z,https://ichef.bbci.co.uk/news/1024/branded_news/CBB6/production/_128205125_mediaitem128202846.jpg,News of public figures' deaths has sparked speculation about greater losses than officials have reported.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64173824
4,China Covid: Workers making tests clash with police at factory,"Workers clashed with police at a Covid test kit factory in China, videos posted on social media showed.
The protest started on Saturday after a sudden announcement of layoffs and disputes over wages… [+1277 chars]",2023-01-09T05:47:09Z,https://ichef.bbci.co.uk/news/1024/branded_news/1291/production/_128235740_e9938d811b9cd3664629418340539395cb95b2cf.jpg,"Workers protest at an antigen test kit factory in over layoff and wage disputes, videos show.","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64207498
5,"China Covid: More than 88 million people in Henan infected, official says","Nearly 90% of people in Henan, China's third most populous province, have now been infected with Covid, local health officials say.
Provincial official Kan Quancheng revealed the figure - amounting … [+2613 chars]",2023-01-09T09:40:47Z,https://ichef.bbci.co.uk/news/1024/branded_news/6ED5/production/_128237382_43a1c4369be1c03b1c20c1dc0be85577e99131330_0_6960_46401000x667.jpg,Some 89% of people in Henan province have been infected but visits to clinics have peaked.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64208127
6,China Covid: Young people self-infect as fears for elderly grow,"When Mr Chen's 85-year-old father fell ill with Covid in December, it was impossible to get an ambulance or see a doctor.
They went to Chaoyang Hospital in Beijing, where they were told to either tr… [+5458 chars]",2023-01-06T07:18:33Z,https://ichef.bbci.co.uk/news/1024/branded_news/E705/production/_128214195_gettyimages-1245933895.jpg,Cases are surging as the country reopens after the sudden reversal of three years of restrictions.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64183281
7,New Year: Countries around the world celebrate after Covid lull,"Countries around the world have celebrated New Year, after two years of muted or cancelled events due to the Covid pandemic. 
Celebrations have taken place on the east coast of the United States, an… [+2522 chars]",2023-01-01T10:41:30Z,https://ichef.bbci.co.uk/news/1024/branded_news/8EFF/production/_128170663_mediaitem128170657.jpg,"People toasted 2023 around the world, with many gathering for the first time in three years.","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-64138284
8,Zhao Lijian: China reassigns combative ‘Wolf Warrior’ diplomat,"A controversial Chinese diplomat who epitomised China's ""Wolf Warrior"" approach to diplomacy appears to have been demoted.
Ex-foreign ministry spokesman Zhao Lijian is now deputy head of the Departm… [+2835 chars]",2023-01-10T07:31:20Z,https://ichef.bbci.co.uk/news/1024/branded_news/B7E2/production/_128247074_gettyimages-1360201407.jpg,Controversial Chinese foreign ministry spokesman Zhao Lijian has been moved to another department,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64218847
9,Jack Ma to give up control of fintech giant Ant Group,"The billionaire founder of Ant Group, Jack Ma, is to give up control of the Chinese fintech giant after a regulatory crackdown.
Ant Group said that after the change no-one would have overall control… [+2730 chars]",2023-01-08T11:03:42Z,https://ichef.bbci.co.uk/news/1024/branded_news/9589/production/_128218283_jackma.jpg,The billionaire has seldom been seen in public since criticising China's financial sector in 2020.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/business-64192382
10,China reopens borders to tourists after three years of Covid closure,"China has reopened its borders to international visitors for the first time since it imposed travel restrictions in March 2020.
Incoming travellers will no longer need to quarantine - marking a sign… [+1950 chars]",2023-01-08T09:18:27Z,https://ichef.bbci.co.uk/news/1024/branded_news/DF73/production/_128230275_6b86cb46ffb3ba4d9c3ba056a449a363dbd2de5e0_311_6311_35511000x563.jpg,"It comes as the world's largest annual migration event, Lunar New Year, begins.","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-asia-china-64201776
11,Snooker match-fixing probe - what is happening?,"Zhao Xintong, Yan Bingtao and Liang Wenbo are among the players suspended
As snooker prepares to host one of its showpiece tournaments, the sport is in the midst of its biggest ever corruption inves… [+7694 chars]",2023-01-06T15:12:30Z,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/173C2/production/_128207159_players.png,How did we get here and what happens next as 10 players are suspended in a corruption inquiry.,"{'id': 'bbc-news', 'name': 'BBC News'}",,https://www.bbc.co.uk/sport/snooker/64174244
12,Covid: Hong Kong to lift year-long ban on hamster imports,"Hong Kong is set to lift its year-long ban on the import of hamsters later this month as it unwinds some of the world's toughest Covid restrictions.
The city's Agriculture, Fisheries and Conservatio… [+2948 chars]",2023-01-05T09:58:48Z,https://ichef.bbci.co.uk/news/1024/branded_news/709E/production/_128203882_gettyimages-1368246978.jpg,Officials in the city previously ordered a culling of the pets to stop the spread of Covid-19.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/business-64170999
13,"Third of world in recession this year, IMF head warns","A third of the global economy will be in recession this year, the head of the International Monetary Fund (IMF) has warned.
Kristalina Georgieva said 2023 will be ""tougher"" than last year as the US,… [+2115 chars]",2023-01-02T02:20:53Z,https://ichef.bbci.co.uk/news/1024/branded_news/10CEF/production/_128174886_993e57dee044e4e94f6de72ac1637f5d2ba6d50b.jpg,"Kristalina Georgieva said 2023 will be ""tougher"" than last year as the global economy faces challenges.","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/business-64142662
14,Global recession warning as World Bank cuts economic forecast,"The global economy is ""perilously close to falling into recession"", according to the latest forecast from the World Bank.
It expects the global economy to grow just 1.7% this year - a sharp decrease… [+2965 chars]",2023-01-10T14:34:30Z,https://static.files.bbci.co.uk/ws/simorgh-assets/public/news/images/metadata/poster-1024x576.png,The 2023 growth forecast for the global economy is cut to 1.7% as a result of Ukraine war and Covid pandemic.,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/business-64213830
